"","Creditability","Account.Balance","Duration.of.Credit..month.","Payment.Status.of.Previous.Credit","Purpose","Credit.Amount","Value.Savings.Stocks","Length.of.current.employment","Instalment.per.cent","Sex...Marital.Status","Guarantors","Duration.in.Current.address","Most.valuable.available.asset","Age..years.","Concurrent.Credits","Type.of.apartment","No.of.Credits.at.this.Bank","Occupation","No.of.dependents","Telephone"
"167",1,3,30,4,"2",5771,1,3,4,"1","1",2,3,25,2,"2",2,"2",1,1
"518",0,3,36,2,"3",1819,1,2,4,"2","1",4,4,37,1,"3",1,"2",1,2
"42",1,1,24,2,"3",1755,1,4,4,"1","2",4,1,58,2,"2",1,"1",1,2
"869",0,2,12,2,"2",951,1,1,4,"1","1",4,3,27,1,"1",2,"2",1,1
"735",1,1,36,2,"1",5493,1,4,2,"2","1",4,4,42,2,"3",1,"2",2,1
"713",1,3,36,4,"3",6304,3,4,4,"2","1",4,1,36,2,"2",2,"2",1,1
"461",1,2,20,2,"1",6468,3,1,1,"1","1",4,1,60,2,"2",1,"3",1,2
"189",1,2,36,2,"3",2273,1,3,3,"2","1",1,3,32,2,"2",2,"2",2,1
"426",1,3,12,4,"2",717,1,4,4,"2","1",4,1,52,2,"2",2,"2",1,1
"32",1,3,36,4,"3",3535,1,3,4,"2","1",4,3,37,2,"2",2,"2",1,2
"809",0,1,24,2,"2",3345,1,4,4,"2","1",2,2,39,2,"1",1,"3",1,2
"489",1,3,12,2,"3",1076,1,2,2,"3","1",2,1,26,2,"2",1,"2",1,2
"39",1,3,18,2,"1",3378,3,2,2,"2","1",1,2,31,2,"2",1,"2",1,2
"588",1,1,36,2,"2",3620,1,2,1,"2","2",2,2,37,2,"2",1,"2",2,1
"906",0,1,18,4,"2",2124,1,2,4,"1","1",4,1,24,2,"1",2,"2",1,1
"721",0,2,48,3,"3",6224,1,4,4,"2","1",4,4,50,2,"3",1,"2",1,1
"418",1,3,24,4,"1",5804,3,2,4,"2","1",2,1,27,2,"2",2,"2",1,1
"1",1,1,18,4,"2",1049,1,1,4,"1","1",4,2,21,2,"1",1,"2",1,1
"346",1,3,10,2,"2",1924,1,2,1,"2","1",4,2,38,2,"2",1,"2",1,2
"566",1,2,24,3,"2",1553,1,3,3,"1","1",2,2,23,2,"1",2,"2",1,2
"907",0,1,18,1,"2",1553,1,2,4,"2","1",3,3,44,1,"2",1,"2",1,1
"997",0,1,24,2,"3",2303,1,4,4,"2","2",1,1,45,2,"2",1,"2",1,1
"686",1,3,24,4,"2",1585,1,3,4,"2","1",3,2,40,2,"2",2,"2",1,1
"928",0,1,12,2,"3",902,1,3,4,"3","1",4,2,21,2,"1",1,"2",1,1
"624",1,1,12,2,"2",3590,1,2,2,"2","2",2,2,29,2,"2",1,"1",2,1
"738",1,3,18,4,"2",1149,3,2,4,"2","1",3,1,46,2,"2",2,"2",1,1
"453",1,2,10,2,"3",7308,1,1,2,"2","1",4,4,70,1,"3",1,"3",1,2
"412",1,3,24,3,"3",2978,3,2,4,"2","1",4,1,32,2,"2",2,"2",2,2
"508",1,3,24,4,"1",6842,3,2,2,"2","1",4,2,46,2,"2",2,"3",2,2
"762",0,1,18,2,"2",2600,1,2,4,"2","1",4,4,65,2,"3",2,"2",1,1
"492",1,3,12,4,"2",3331,1,4,2,"2","1",4,2,42,1,"2",1,"2",1,1
"881",0,1,18,2,"2",2473,1,1,4,"2","1",1,3,25,2,"2",1,"1",1,1
"612",1,1,12,2,"2",2577,1,2,2,"1","1",1,3,42,2,"2",1,"2",1,1
"758",0,1,12,0,"3",1082,1,2,4,"2","1",4,3,48,1,"2",2,"2",1,1
"21",1,1,6,4,"3",3676,1,2,1,"2","1",3,1,37,2,"1",2,"2",2,1
"689",1,3,18,2,"2",3049,1,1,1,"1","1",1,2,45,1,"2",1,"1",1,1
"844",0,2,24,2,"3",11328,1,2,2,"2","2",3,3,29,1,"2",2,"3",1,2
"727",1,3,21,2,"3",2782,2,3,1,"1","1",2,3,31,1,"2",1,"3",1,1
"348",1,3,10,4,"3",781,1,4,4,"2","1",4,4,63,2,"3",2,"2",1,2
"490",1,3,12,2,"3",3527,3,1,2,"2","1",3,2,45,2,"2",1,"3",2,2
"698",1,3,24,2,"2",1413,1,2,4,"3","1",2,2,28,2,"2",1,"2",1,1
"458",1,2,18,2,"3",1941,3,2,4,"2","1",2,2,35,2,"2",1,"1",1,2
"253",1,3,12,2,"2",804,1,4,4,"2","1",4,3,38,2,"2",1,"2",1,1
"279",1,1,24,2,"2",3660,1,2,2,"1","1",4,3,28,2,"2",1,"2",1,1
"195",1,3,12,2,"2",1262,1,2,3,"2","1",2,3,25,2,"2",1,"2",1,1
"137",1,2,12,2,"3",1318,3,4,4,"2","1",4,1,54,2,"2",1,"2",1,2
"51",1,3,12,2,"3",640,1,2,4,"1","1",2,1,49,2,"2",1,"1",1,1
"249",1,2,15,2,"2",2631,1,2,3,"1","1",2,1,25,2,"2",1,"1",1,1
"10",1,2,24,2,"2",3758,2,1,1,"1","1",4,4,23,2,"1",1,"1",1,1
"43",1,3,18,4,"3",1028,1,2,4,"1","1",3,1,36,2,"2",2,"2",1,1
"180",1,3,48,3,"2",12749,2,3,4,"2","1",1,3,37,2,"2",1,"3",1,2
"142",1,3,9,2,"3",3832,3,4,1,"2","1",4,1,64,2,"2",1,"1",1,1
"305",0,3,9,2,"2",745,1,2,3,"1","1",2,1,28,2,"2",1,"1",1,1
"164",1,3,15,4,"2",3343,1,2,4,"2","1",2,4,28,2,"3",1,"2",1,2
"92",1,2,30,2,"2",2991,3,4,2,"1","1",4,3,25,2,"2",1,"2",1,1
"599",1,1,30,2,"2",2522,1,4,1,"2","2",3,2,39,2,"2",1,"2",2,1
"950",0,3,12,4,"2",797,3,4,4,"1","1",3,2,33,2,"2",1,"1",2,1
"916",0,1,18,2,"2",2462,1,2,2,"2","1",2,3,22,2,"2",1,"2",1,1
"832",0,3,36,3,"2",4463,1,2,4,"2","1",2,3,26,2,"2",2,"3",1,2
"960",0,2,24,2,"2",3092,1,1,3,"3","1",2,3,22,2,"1",1,"2",1,2
"84",1,3,15,4,"1",2360,2,2,2,"2","1",2,3,36,2,"2",1,"2",1,2
"290",1,3,15,3,"2",1478,1,2,4,"3","1",3,1,33,1,"2",2,"2",1,1
"140",1,3,24,4,"2",3148,3,2,3,"2","1",2,3,31,2,"2",2,"2",1,2
"546",1,2,8,2,"3",907,1,1,3,"3","1",2,1,26,2,"2",1,"2",1,2
"579",0,1,33,4,"2",4281,2,2,1,"1","1",4,3,23,2,"2",2,"2",1,1
"803",0,1,24,2,"3",1371,3,2,4,"1","1",4,1,25,2,"1",1,"2",1,1
"67",1,3,12,2,"2",3077,1,2,2,"2","1",4,3,52,2,"2",1,"2",1,2
"473",1,3,36,2,"3",7409,3,4,3,"2","1",2,2,37,2,"2",2,"2",1,1
"395",1,3,24,2,"2",5511,1,2,4,"2","1",1,3,25,1,"2",1,"2",1,1
"578",0,1,12,2,"3",684,1,2,4,"2","1",4,3,40,2,"1",1,"1",2,1
"312",1,3,48,4,"1",2751,3,4,4,"2","1",3,3,38,2,"2",2,"2",2,2
"521",0,3,36,2,"2",3349,1,2,4,"1","1",2,3,28,2,"2",1,"3",1,2
"644",0,1,48,4,"1",6143,1,4,4,"1","1",4,4,58,1,"3",2,"1",1,1
"598",1,1,21,4,"3",571,1,4,4,"2","1",4,1,65,2,"2",2,"2",1,1
"654",1,3,24,4,"2",2424,3,4,4,"2","1",4,2,53,2,"2",2,"2",1,1
"509",1,3,24,4,"2",5150,1,4,4,"2","1",4,3,33,2,"2",1,"2",1,2
"882",0,3,9,0,"2",1337,1,1,4,"2","1",2,3,34,2,"2",2,"3",1,2
"591",1,1,12,2,"2",1657,1,2,2,"2","1",2,1,27,2,"2",1,"2",1,1
"93",1,2,30,0,"3",4221,1,2,2,"1","1",1,3,28,2,"2",2,"2",1,1
"254",1,3,36,2,"2",3595,1,4,4,"2","1",2,3,28,2,"2",1,"2",1,1
"379",1,2,15,2,"2",1514,1,2,4,"2","2",2,1,22,2,"2",1,"2",1,1
"172",0,1,12,2,"3",1228,1,2,4,"1","1",2,1,24,2,"2",1,"1",1,1
"98",0,2,36,3,"3",4455,1,2,2,"1","1",2,1,30,1,"2",2,"3",1,2
"981",0,2,24,2,"2",2039,1,1,1,"3","1",1,2,22,2,"2",1,"2",1,2
"905",0,1,18,0,"2",3114,1,1,1,"1","1",4,2,26,2,"1",1,"2",1,1
"662",1,2,12,2,"2",1103,1,3,4,"2","2",3,1,29,2,"2",2,"2",1,1
"853",0,2,24,4,"3",1935,1,4,4,"1","1",4,1,31,2,"2",2,"2",1,2
"227",1,1,18,2,"3",4380,1,2,3,"2","1",4,3,35,2,"2",1,"1",2,2
"792",0,3,15,2,"2",2327,1,1,2,"1","1",3,1,25,2,"2",1,"1",1,1
"108",1,3,18,2,"2",1473,1,1,3,"3","1",4,1,39,2,"2",1,"2",1,2
"463",1,3,15,2,"1",3812,1,1,1,"1","1",4,3,23,2,"2",1,"2",1,2
"791",0,2,15,0,"3",1778,1,1,2,"1","1",1,1,26,2,"1",2,"1",1,1
"583",0,3,24,2,"2",3621,1,4,2,"2","1",4,3,31,2,"2",2,"2",1,1
"858",0,1,36,2,"2",2302,1,2,4,"1","1",4,3,31,2,"1",1,"2",1,1
"331",1,3,24,4,"3",1927,3,2,3,"1","1",2,3,33,2,"2",2,"2",1,2
"48",0,3,18,4,"3",1864,1,2,4,"1","1",2,1,30,2,"2",2,"2",1,1
"408",1,2,9,2,"3",1391,1,2,2,"3","1",1,1,27,1,"2",1,"2",1,2
"327",1,3,10,2,"3",1418,1,2,3,"2","1",2,1,35,2,"1",1,"1",1,1
"767",0,2,39,4,"2",4933,1,3,2,"2","2",2,1,25,2,"2",2,"2",1,1
"363",1,3,6,4,"2",1221,3,2,1,"3","1",2,2,27,2,"2",2,"2",1,1
"540",1,2,18,0,"2",3244,1,2,1,"1","1",4,3,33,1,"2",2,"2",1,2
"424",1,3,12,2,"3",2133,3,4,4,"1","1",4,4,52,2,"3",1,"3",1,2
"358",1,3,10,4,"3",1231,1,4,3,"2","1",4,1,32,2,"2",2,"1",2,1
"178",1,2,12,4,"1",1804,1,1,3,"2","1",4,2,44,2,"2",1,"2",1,1
"761",0,2,48,2,"2",3060,1,3,4,"2","1",4,1,28,2,"2",2,"2",1,1
"115",1,2,21,2,"2",3976,3,3,2,"2","1",3,3,35,2,"2",1,"2",1,2
"580",0,1,42,2,"2",7174,3,3,4,"1","1",3,3,30,2,"2",1,"3",1,2
"342",1,1,24,1,"1",3632,1,2,1,"1","2",4,3,22,1,"1",1,"2",1,1
"649",1,2,30,3,"3",2503,1,4,4,"2","1",2,2,41,1,"2",2,"2",1,1
"169",1,3,15,4,"2",2788,1,3,2,"1","2",3,3,24,1,"2",2,"2",1,1
"946",0,2,15,1,"3",6850,1,1,1,"2","1",2,2,34,1,"2",1,"3",2,2
"608",1,1,6,4,"3",609,1,3,4,"1","1",3,2,37,2,"2",2,"2",1,1
"148",1,1,12,2,"2",1262,3,4,2,"1","1",4,2,49,2,"2",1,"1",1,2
"533",1,3,12,2,"2",1881,1,2,2,"1","1",2,3,44,2,"1",1,"1",1,2
"621",1,3,24,2,"1",9277,3,2,2,"1","1",4,4,48,2,"3",1,"2",1,2
"455",1,1,14,2,"3",3973,1,1,1,"2","1",4,4,22,2,"3",1,"2",1,1
"674",1,2,8,2,"2",760,1,3,4,"1","2",2,1,44,2,"2",1,"1",1,1
"695",1,3,12,2,"2",1768,1,2,3,"2","1",2,1,24,2,"1",1,"1",1,1
"597",1,1,12,2,"2",708,1,2,2,"2","2",3,2,38,2,"2",1,"1",2,1
"299",1,2,12,2,"2",983,3,1,1,"1","1",4,1,19,2,"1",1,"1",1,1
"555",1,2,11,2,"2",1577,3,1,4,"1","1",1,1,20,2,"2",1,"2",1,1
"14",1,2,48,3,"3",7582,1,1,2,"2","1",4,4,31,2,"2",1,"3",1,2
"828",0,1,12,4,"3",4843,1,4,3,"2","2",4,2,43,2,"1",2,"2",1,2
"875",0,2,24,1,"3",1837,1,3,4,"1","1",4,4,34,1,"3",1,"1",1,1
"830",0,2,48,2,"2",5951,1,2,2,"1","1",2,1,22,2,"2",1,"2",1,1
"911",0,1,24,3,"3",4870,1,2,3,"2","1",4,4,53,2,"3",2,"2",2,1
"798",0,3,21,4,"3",2319,1,1,2,"1","1",1,3,33,2,"1",1,"2",1,1
"677",1,1,9,4,"2",1138,1,2,4,"2","1",4,1,25,2,"2",2,"1",1,1
"17",1,1,11,4,"3",3939,1,2,1,"2","1",2,1,40,2,"2",2,"1",2,1
"302",1,3,24,2,"2",5152,1,3,4,"2","1",2,3,25,1,"2",1,"2",1,1
"696",1,3,60,3,"2",15653,1,3,2,"2","1",4,3,21,2,"2",2,"2",1,2
"121",1,2,36,2,"2",4795,1,1,4,"1","1",1,4,30,2,"2",1,"3",1,2
"743",0,1,24,2,"2",2996,3,2,2,"3","1",4,3,20,2,"2",1,"2",1,1
"409",1,2,18,2,"3",1913,3,1,3,"3","1",3,1,36,1,"2",1,"2",1,2
"831",0,2,36,0,"2",3804,1,2,4,"1","1",1,3,42,2,"2",1,"2",1,2
"956",0,1,18,4,"2",1190,1,1,2,"1","1",4,4,55,2,"3",2,"1",2,1
"635",1,1,36,2,"3",3249,1,3,2,"2","1",4,4,39,1,"3",1,"3",2,2
"49",1,3,24,2,"3",1474,1,1,4,"3","1",3,1,33,2,"2",1,"2",1,2
"807",0,2,18,0,"3",2278,1,1,3,"1","1",3,3,28,2,"2",2,"2",1,1
"333",1,3,6,4,"2",1554,1,3,1,"1","1",2,3,24,2,"1",2,"2",1,2
"106",1,3,24,2,"3",1393,1,2,2,"2","2",2,1,31,2,"2",1,"2",1,2
"575",1,2,36,2,"1",6948,1,2,2,"2","1",2,3,35,2,"1",1,"3",1,2
"248",1,3,24,3,"2",4151,1,2,2,"2","1",3,2,35,2,"2",2,"2",1,1
"838",0,2,24,2,"2",4057,1,3,3,"1","1",3,3,43,2,"2",1,"2",1,2
"441",1,3,21,4,"2",2288,1,1,4,"1","1",4,2,23,2,"2",1,"2",1,2
"27",1,1,12,2,"2",652,1,4,4,"1","1",4,2,24,2,"1",1,"2",1,1
"420",1,1,15,4,"2",1478,1,4,4,"2","1",4,3,44,2,"2",2,"2",2,2
"908",0,1,30,2,"2",2406,1,3,4,"1","1",4,1,23,2,"1",1,"2",1,1
"309",1,1,21,2,"2",2606,1,1,4,"1","1",4,2,28,2,"1",1,"3",1,2
"223",1,3,24,3,"1",4679,1,3,3,"2","1",3,3,35,2,"2",2,"1",1,2
"565",1,3,30,3,"3",4272,1,2,2,"2","1",2,2,26,2,"2",2,"1",1,1
"451",0,2,12,2,"2",766,2,2,4,"2","1",3,1,66,2,"2",1,"1",1,1
"676",1,3,6,4,"3",1323,1,4,2,"1","1",4,3,28,2,"2",2,"2",2,2
"68",1,3,24,2,"2",2284,1,3,4,"2","1",2,3,28,2,"2",1,"2",1,2
"256",1,3,15,2,"3",2687,1,3,2,"2","1",4,2,26,2,"1",1,"2",1,2
"192",1,2,36,2,"3",3711,3,2,2,"3","1",2,3,27,2,"2",1,"2",1,1
"415",1,3,12,4,"2",522,2,4,4,"2","1",4,2,42,2,"2",2,"2",2,2
"183",1,1,30,0,"3",8072,3,1,2,"2","1",3,3,25,1,"2",2,"2",1,1
"952",0,3,12,4,"3",939,2,3,4,"3","1",2,1,28,2,"2",2,"2",1,2
"868",0,2,36,2,"1",9398,1,1,1,"3","1",4,3,28,2,"1",1,"3",1,2
"752",0,1,9,2,"3",654,1,2,4,"2","1",3,3,28,2,"2",1,"1",1,1
"670",1,2,7,2,"2",2415,1,2,3,"2","2",2,1,34,2,"2",1,"2",1,1
"388",1,3,24,2,"3",7393,1,2,1,"2","1",4,2,43,2,"2",1,"1",2,1
"257",1,1,15,3,"2",3643,1,4,1,"1","1",4,2,27,2,"2",2,"1",1,1
"703",1,1,18,3,"3",8471,3,2,1,"1","1",2,3,23,2,"1",2,"2",1,2
"935",0,1,16,4,"3",2625,1,4,2,"2","2",4,2,43,2,"1",1,"2",1,2
"766",0,3,9,2,"2",1478,1,3,4,"2","1",2,3,22,2,"2",1,"2",1,1
"863",0,2,12,2,"2",1534,1,1,1,"3","1",1,1,23,2,"1",1,"2",1,1
"372",1,3,24,4,"2",2578,3,4,2,"2","1",2,3,34,2,"2",1,"2",1,1
"986",0,3,12,4,"3",2292,1,1,4,"2","1",2,3,42,1,"2",2,"3",1,2
"626",1,1,6,4,"2",1872,1,1,4,"2","1",4,4,36,2,"3",2,"3",1,2
"214",1,3,6,4,"3",1299,1,2,1,"2","1",1,1,74,2,"2",2,"1",2,1
"782",0,1,24,3,"2",1024,1,1,4,"3","1",4,1,48,1,"2",1,"2",1,1
"311",1,3,12,4,"2",930,3,4,4,"2","1",4,1,65,2,"2",2,"2",1,1
"339",1,3,10,2,"1",2848,1,2,1,"2","2",2,1,32,2,"2",1,"2",2,1
"250",1,3,21,2,"1",5248,3,2,1,"2","1",3,3,26,2,"2",1,"2",1,1
"464",0,1,28,2,"3",4006,1,2,3,"2","1",2,3,45,2,"2",1,"1",1,1
"114",1,3,12,2,"2",763,1,2,4,"1","1",1,1,26,2,"2",1,"2",1,2
"31",1,3,30,4,"2",3017,1,4,4,"2","1",4,2,47,2,"2",1,"2",1,1
"900",0,3,10,2,"3",1309,3,2,4,"2","2",4,2,27,2,"2",1,"1",1,1
"422",1,2,11,4,"3",1322,3,2,4,"1","1",4,3,40,2,"2",2,"2",1,1
"466",1,3,12,2,"2",1424,3,4,3,"1","1",4,1,55,2,"2",1,"3",1,2
"972",0,2,27,0,"3",8318,1,4,2,"1","1",4,4,42,1,"3",2,"3",1,2
"998",0,3,21,4,"3",12680,3,4,4,"2","1",4,4,30,2,"3",1,"3",1,2
"76",1,2,9,2,"2",2030,3,3,2,"2","1",1,3,24,2,"2",1,"2",1,2
"452",1,1,20,2,"2",2212,3,3,4,"2","1",4,3,39,2,"2",1,"2",1,2
"376",1,1,27,2,"2",3416,1,2,3,"2","1",2,3,27,2,"2",1,"3",1,1
"359",1,3,18,2,"3",1961,1,4,3,"1","1",2,3,23,2,"2",1,"3",1,1
"630",1,1,12,2,"2",2578,1,1,3,"1","1",4,4,55,2,"3",1,"3",1,1
"854",0,3,24,4,"3",1344,3,3,4,"2","1",2,1,37,1,"2",2,"1",2,1
"203",1,3,18,1,"2",1445,3,3,4,"2","1",4,3,49,1,"2",1,"1",1,1
"586",1,1,24,2,"1",2910,1,3,2,"2","1",1,4,34,2,"3",1,"3",1,2
"110",1,3,12,4,"3",2012,3,3,4,"1","1",2,3,61,2,"2",1,"2",1,1
"345",1,3,12,4,"3",682,1,3,4,"1","1",3,3,51,2,"2",2,"2",1,2
"231",1,3,24,2,"2",1278,1,4,4,"2","1",1,1,36,2,"2",1,"3",1,2
"77",1,3,21,4,"1",3275,1,4,1,"2","1",4,3,36,2,"2",1,"3",1,2
"208",1,2,15,2,"2",1444,3,1,4,"2","1",1,2,23,2,"2",1,"2",1,1
"40",1,3,24,4,"1",3868,1,4,4,"1","1",2,3,41,2,"1",2,"3",1,2
"930",0,2,48,0,"3",14421,1,2,2,"2","1",2,3,25,1,"2",1,"2",1,2
"632",1,1,42,2,"2",7882,1,3,2,"2","2",4,2,45,2,"3",1,"2",2,1
"859",0,1,42,2,"2",3965,1,1,4,"2","1",3,3,34,2,"2",1,"2",1,1
"724",1,3,36,3,"1",8947,3,3,3,"2","1",2,3,31,1,"2",1,"3",2,2
"968",0,1,18,2,"2",1345,1,2,4,"3","1",3,1,26,2,"2",1,"2",1,1
"271",1,3,6,2,"1",1236,2,2,2,"2","1",4,2,50,2,"1",1,"2",1,1
"488",1,2,18,4,"2",3612,1,4,3,"1","1",4,2,37,2,"2",1,"2",1,2
"129",1,3,18,2,"3",1820,1,2,2,"3","1",2,2,30,2,"2",1,"3",1,2
"58",1,1,15,2,"2",1053,1,1,4,"3","1",2,1,27,2,"2",1,"2",1,1
"615",1,1,24,2,"1",6579,1,1,4,"2","1",2,4,29,2,"3",1,"3",1,2
"225",1,1,18,2,"2",2659,3,2,4,"2","1",2,3,28,2,"2",1,"2",1,1
"614",1,1,15,2,"2",1845,1,1,4,"1","2",1,2,46,2,"1",1,"2",1,1
"748",1,3,24,4,"2",5507,1,4,3,"2","1",4,4,44,2,"3",2,"2",1,1
"448",1,3,12,2,"2",886,3,2,4,"1","1",2,3,21,2,"2",1,"2",1,1
"707",1,3,24,4,"2",3617,3,4,4,"2","2",4,4,20,2,"1",2,"2",1,1
"716",1,3,36,0,"2",2613,1,2,4,"2","1",2,3,27,2,"2",2,"2",1,1
"470",1,3,12,2,"3",1393,1,4,4,"2","1",4,2,47,1,"2",2,"2",2,2
"891",0,2,60,2,"3",14027,1,3,4,"2","1",2,4,27,2,"2",1,"3",1,2
"535",1,1,18,2,"2",2389,1,1,4,"1","1",1,3,27,1,"2",1,"2",1,1
"604",1,1,12,2,"2",1289,1,2,4,"2","2",1,2,21,2,"2",1,"1",1,1
"699",1,2,45,4,"1",4576,1,1,3,"2","1",4,3,27,2,"2",1,"2",1,1
"770",0,1,15,2,"2",1275,3,2,4,"1","1",2,3,24,2,"1",1,"2",1,1
"903",0,2,36,3,"3",2225,1,4,4,"2","1",4,4,57,1,"3",2,"2",1,2
"880",0,1,24,1,"3",1358,3,4,4,"2","1",3,3,40,1,"2",1,"3",1,2
"820",0,3,9,2,"2",1980,1,1,2,"1","2",2,3,19,2,"1",2,"2",1,1
"475",1,3,36,2,"2",4473,1,4,4,"2","1",2,3,31,2,"2",1,"2",1,1
"663",1,2,12,3,"2",585,1,2,4,"3","2",4,1,20,2,"1",2,"2",1,1
"314",1,2,24,2,"3",1201,1,1,4,"2","1",1,2,26,2,"2",1,"2",1,1
"460",1,3,12,2,"1",2445,3,1,2,"3","1",4,3,26,2,"1",1,"2",1,2
"260",1,3,5,2,"3",3448,1,3,1,"2","1",4,1,74,2,"2",1,"1",1,1
"241",1,3,15,4,"2",1316,2,2,2,"3","1",2,2,47,2,"2",2,"1",1,1
"315",1,1,6,2,"3",662,1,1,3,"2","1",4,1,41,2,"2",1,"1",2,2
"737",1,2,9,2,"2",1082,1,4,4,"2","1",4,3,37,2,"2",2,"1",1,1
"799",0,1,24,2,"3",915,3,4,4,"1","1",2,3,29,1,"2",1,"2",1,1
"827",0,2,48,0,"3",3844,1,3,4,"2","1",4,4,34,2,"3",1,"1",2,1
"334",1,3,22,2,"3",1283,3,3,4,"1","1",4,2,25,2,"1",1,"2",1,1
"447",1,3,6,4,"2",700,3,4,4,"2","1",4,4,36,2,"3",2,"2",1,1
"6",1,1,10,4,"3",2241,1,1,1,"2","1",3,1,48,2,"1",2,"1",2,1
"465",1,2,12,2,"3",7472,3,1,1,"1","1",2,1,24,2,"1",1,"1",1,1
"272",1,3,36,3,"2",7678,2,3,2,"1","1",4,3,40,2,"2",2,"2",1,2
"18",1,2,18,2,"2",3213,2,1,1,"3","1",3,1,25,2,"1",1,"2",1,1
"436",1,3,7,3,"2",846,3,4,3,"2","1",4,4,36,2,"3",1,"2",1,1
"904",0,1,18,2,"2",4153,1,2,2,"2","2",3,3,42,2,"2",1,"2",1,1
"136",1,3,6,2,"2",1543,3,2,4,"1","1",2,1,33,2,"2",1,"2",1,1
"976",0,1,30,2,"2",11998,1,1,1,"1","1",1,4,34,1,"2",1,"1",1,2
"733",1,3,15,4,"1",3368,3,4,3,"2","1",4,4,23,2,"1",2,"2",1,2
"622",1,3,24,4,"3",6314,1,1,4,"2","2",2,4,27,1,"2",2,"3",1,2
"45",1,2,18,2,"3",1239,3,2,4,"2","1",4,4,61,2,"3",1,"2",1,1
"609",1,1,48,2,"1",4788,1,3,4,"2","1",3,2,26,2,"2",1,"2",2,1
"404",1,3,24,2,"2",3181,1,1,4,"1","1",4,2,26,2,"2",1,"2",1,2
"410",1,3,42,2,"2",7166,3,3,2,"3","1",4,2,29,2,"1",1,"2",1,2
"862",0,1,48,2,"3",4308,1,1,3,"1","1",4,2,24,2,"1",1,"2",1,1
"595",1,1,30,0,"2",4583,1,2,2,"1","2",2,1,32,2,"2",2,"2",1,1
"265",1,3,12,2,"2",1493,1,1,4,"1","1",3,3,34,2,"2",1,"2",2,1
"764",0,2,60,2,"3",6288,1,2,4,"2","1",4,4,42,2,"3",1,"2",1,1
"16",1,1,6,2,"2",2647,2,2,2,"2","1",3,1,44,2,"1",1,"2",2,1
"161",1,3,12,4,"2",1291,1,2,4,"1","1",2,2,35,2,"2",2,"2",1,1
